id;title;description;due_date;done
1;out-of-the-box Grocery SMTP;bus;2023-09-22;false
2;Group Afghanistan;SDD Seychelles;2023-09-22;true
3;Borders Norwegian;killer;2023-09-21;false
4;modular;synergies array frame;2023-09-21;false
5;Lane Chair Music;maroon;2023-09-21;true
6;Plastic collaboration;CSS;2023-09-21;true
7;Soft Afghani;Zloty deposit;2023-09-21;false
8;SAS;ROI deposit Chair;2023-09-21;false
9;Multi-layered;Berkshire payment expedite;2023-09-21;false
10;matrix harness;Account;2023-09-21;true
